Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
44400.00,EQ,4411.50,4425.00,4344.00,4406.15,4359.95,4361.20,4386.62,4600.00,2195.00,215746.00,946395074.20,20265.00
44399.00,EQ,4394.00,4425.00,4365.35,4357.60,4410.00,4406.15,4408.20,4600.00,2195.00,331876.00,1462975465.95,32005.00
44397.00,EQ,4400.00,4461.15,4319.00,4379.60,4346.50,4357.60,4389.05,4600.00,2195.00,424083.00,1861321090.75,34527.00
44396.00,EQ,4269.90,4466.75,4220.00,4288.60,4370.00,4379.60,4372.07,4600.00,2195.00,908381.00,3971503488.20,71265.00
44393.00,EQ,4399.00,4399.00,4251.00,4420.25,4289.95,4288.60,4303.24,4600.00,2116.50,921642.00,3966042700.05,75273.00
44392.00,EQ,4260.15,4600.00,4245.00,4214.75,4395.00,4420.25,4446.01,4600.00,2116.50,2524847.00,11225495054.60,172712.00
44391.00,EQ,4033.35,4228.00,4012.85,4017.85,4212.10,4214.75,4166.59,4483.00,2116.50,743692.00,3098662506.45,54690.00
44390.00,EQ,4035.45,4044.50,3995.00,4035.45,4014.00,4017.85,4016.37,4483.00,2116.50,129863.00,521578093.45,19538.00
44389.00,EQ,4065.00,4077.90,4013.00,4054.10,4035.00,4035.45,4035.28,4483.00,2116.50,142743.00,576008673.75,14497.00
44386.00,EQ,4037.90,4072.45,4015.25,4042.50,4052.60,4054.10,4040.48,4483.00,1980.00,134881.00,544983464.65,19990.00
44385.00,EQ,4038.90,4100.00,4026.15,4034.80,4046.00,4042.50,4062.37,4483.00,1980.00,204842.00,832144972.15,20981.00
44384.00,EQ,4020.05,4073.70,3990.45,4021.25,4030.00,4034.80,4037.49,4483.00,1980.00,125022.00,504775178.25,19749.00
44383.00,EQ,4050.00,4080.95,4010.00,4046.65,4021.00,4021.25,4045.45,4483.00,1980.00,182484.00,738230120.40,17606.00
44382.00,EQ,4044.00,4064.70,4016.00,4042.85,4044.95,4046.65,4038.25,4483.00,1980.00,150414.00,607409614.50,25050.00
44379.00,EQ,4039.90,4065.55,3988.20,4016.80,4035.00,4042.85,4022.67,4483.00,1890.15,267215.00,1074917218.15,25851.00
44378.00,EQ,4085.55,4096.95,3970.00,4071.30,4035.00,4016.80,4016.79,4483.00,1890.15,303755.00,1220119347.65,34199.00
44377.00,EQ,4119.00,4160.05,4051.05,4134.15,4071.00,4071.30,4104.79,4483.00,1890.15,343166.00,1408622787.30,39099.00
44376.00,EQ,4124.95,4152.00,4087.65,4122.15,4117.60,4134.15,4117.38,4483.00,1890.15,226795.00,933800335.05,25654.00
44375.00,EQ,4220.00,4225.00,4111.55,4215.45,4133.00,4122.15,4136.74,4483.00,1890.15,261465.00,1081613771.00,31775.00
44372.00,EQ,4200.00,4233.00,4175.00,4184.95,4219.00,4215.45,4211.75,4483.00,1863.40,255481.00,1076021658.15,25530.00
44371.00,EQ,4120.00,4225.00,4085.60,4118.90,4175.00,4184.95,4170.60,4483.00,1863.40,258001.00,1076017872.10,28645.00
44370.00,EQ,4112.40,4170.00,4110.00,4110.80,4115.00,4118.90,4141.31,4483.00,1863.40,139644.00,578308881.55,18248.00
44369.00,EQ,4079.80,4144.00,4052.00,4078.85,4115.00,4110.80,4114.75,4483.00,1863.40,181327.00,746115016.85,21103.00
44368.00,EQ,4052.10,4092.90,4008.00,4072.50,4069.80,4078.85,4051.40,4483.00,1863.40,108975.00,441501830.70,16802.00
44365.00,EQ,4200.00,4233.75,4000.15,4170.20,4090.65,4072.50,4088.21,4483.00,1841.00,463743.00,1895877768.25,50319.00
44364.00,EQ,4199.00,4216.00,4134.40,4209.50,4175.00,4170.20,4176.17,4483.00,1841.00,297058.00,1240564601.20,23527.00
44363.00,EQ,4153.35,4247.85,4125.00,4153.35,4196.00,4209.50,4203.20,4483.00,1841.00,505404.00,2124314258.80,37237.00
44362.00,EQ,4167.50,4201.00,4112.00,4167.30,4138.00,4153.35,4162.60,4483.00,1841.00,308870.00,1285701352.50,30543.00
44361.00,EQ,4215.00,4229.00,4125.65,4173.85,4168.00,4167.30,4196.46,4483.00,1841.00,420066.00,1762790363.50,31941.00
44358.00,EQ,4050.00,4210.00,4040.00,4034.85,4200.95,4173.85,4125.89,4483.00,1801.00,651592.00,2688398162.30,50771.00
44357.00,EQ,3946.00,4042.00,3928.80,3936.50,4029.95,4034.85,4005.76,4483.00,1801.00,290365.00,1163132386.85,29244.00
